name,Company,Address,Link,Content,Update
資料工程師,圖靈數位股份有限公司,台北市中正區忠孝西路一段66號34樓,http://www.104.com.tw/job/?jobno=5bgl0&jobsource=n104bank1,工作内容描述：1、瞭解和溝通線上資料監測的技術環境，獨立完成監測規劃並實施；2、部署和實施Google Analytics等網站監測工具，並維護其運行，持續採集線上資料；3、瞭解資料平臺的API介面，可運用適當的語言導入/匯出資料，執行多資料平臺的對接； 任職要求：1、掌握HTML、JavaScript等語言；2、瞭解至少一種後臺語言如PHP、NET，可讀懂相應代碼； 加分項：1、有過Google Analytics等網站監測工具的部署實施經驗；2、熟悉Hadoop、Spark等大資料平臺開源軟體，有實際專案架構經驗；3、瞭解機器學習/資訊檢索/自然語言處理/統計學習/博弈論/人工智慧；4、有hadoop、flume、storm、spark、zookeeper等相關開源專案經驗；5、熟悉IOS和Android開發；6、熟悉常用的機器學習演算法，能靈活運用模型進行資料分析。,2018-06-06
【研發替代役】資料工程師,富邦人壽保險股份有限公司(總公司),台北市內湖區,http://www.104.com.tw/job/?jobno=5u4m5&jobsource=n104bank1,1.從大量客戶交易、商品等數據資料中挖掘使用者行為建立商品推薦系統模型2.研發、評估、建置或導入商敏推薦系統,2018-06-04
【2018玉山研發替代役】－資料工程師,玉山銀行_玉山商業銀行股份有限公司,台北市松山區,http://www.104.com.tw/job/?jobno=5tvug&jobsource=n104bank1,1. 協助建立非結構化資料庫及其分析演算法2. 進行演算法的測試與營運3. 運用平行處理架構設計以高效處理與運用巨量資料,2018-06-06
雲端資料工程師 (Cloud Data Engineer),91APP_九易宇軒股份有限公司,台北市南港區八德路四段768巷5號6樓,http://www.104.com.tw/job/?jobno=5s15o&jobsource=n104bank1,"利用Google Cloud Platform (GCP) 發展數據工程，與數據專家協作，從需求分析，系統規劃與開發，到線上維運，架構完整數據服務平台，往建構91APP「零售AI」的目標邁進。 -能善用Google Cloud Platform數據相關工具，如：Pub/Sub，DataFlow，BigQuery，TensorFlow等工具-熟悉數據相關程式語言開發，如：Python、Scala-能產品化並營運大數據線上服務-參與數據模型建立，並優化模型與架構-能善用自動化的方法處理資料，熟悉大量資料處理與分析，使數據分析與應用產品化-電腦配備MacBook Pro 13"" (16G RAM/256G SSD)",2018-06-07
後端資料工程師 -D,CHOCO TV_巧克科技新媒體股份有限公司,台北市松山區民權東路三段142號17樓,http://www.104.com.tw/job/?jobno=5uu09&jobsource=n104bank1,CHOCOLABS邀請，夥伴來作伴 ☞ 協助建立後端資料處理與分析系統☞ 資料模型設計與優化☞ 協助開發爬蟲程式☞ 必備技能-程式語言：Python / Javascript  (擇一)☞ 必備技能-使用工具：Docker ；  曾使用過 AWS☞ 必備技能-資料庫：MySQL,2018-06-06
[實習機會] Data Engineer 資料工程師實習生,塞席爾商共識科技有限公司台灣分公司,台北市信義區信義路四段 (近捷運台北101/世貿站),http://www.104.com.tw/job/?jobno=68g5o&jobsource=n104bank1,1.    對區塊鏈產業或網路生態有強大興趣者2.    網路資料爬蟲3.    API串接、交易日誌4.   資料勾稽報表產出,2018-06-08
RD20324 軟體暨資料工程師,華碩電腦股份有限公司,台北市北投區,http://www.104.com.tw/job/?jobno=60m06&jobsource=n104bank1,"研究、修改並整合各項開放原始碼，完成內部開放資料平台前後端之開發。其技能包括：1. Hadoop相關技術，如SHive, HBase, Spark2. 資料庫相關套件，如PostgreSQL, MySQL, Cassandra, MongoDB)3. Python, Java程式設計4. Data Warehouse資料倉儲相關知識5. Linux操作6. VM/Docker操作",2018-03-07
"社群資料工程師 (資料平台工程師, Python)",意藍資訊股份有限公司,台北市大安區信義路四段184號6樓,http://www.104.com.tw/job/?jobno=4w20t&jobsource=n104bank1,本公司為社群資料分析的專業領導廠商，提供全國規模最大的網路社群監測與分析平台《OpView社群口碑資料庫》，涵蓋台灣地區九成以上的社群媒體，在數十億筆的雲端資料庫內，即時精確地分析網路上的口碑聲量，是數位行銷時代重要的工具。因此，邀請想投入資料數據產業的各方好手加入，包括資料科學平台設計、深度語意分析、資料科學呈現及前台界面等工程人員。本職務需熟悉程式開發，主要工作內容為：1 網路社群資料擷取及處理2 巨量資料儲存及分析3 分散式與叢集資料庫規劃、設計及維運歡迎Python魔人加入! (也有研發替代役職缺),2018-06-06
技術部【Mysql資料工程師】,伊凡達科技股份有限公司,台北市松山區光復南路35號4樓之1,http://www.104.com.tw/job/?jobno=65rqp&jobsource=n104bank1,* MySQL效能監控&調校&優化。* 監控及系統管理機制建立與管理。,2018-06-06
兼-資料工程師(實習生計劃),治略資訊整合股份有限公司,台北市中正區忠孝東路二段25號3樓,http://www.104.com.tw/job/?jobno=5naqy&jobsource=n104bank1,工作內容與職責：1.系統後端程式開發。2.分散式運算架構開發。3.巨量資料儲存。4.資料分析演算法開發。5.與網頁前端介接的Web API開發(以Python進行)。6.ETL功能、產品開發。7.以Solr和Elasticsearch等open source為中心開發全文搜尋功能。8.以Spark為中心開發Data Analysis系統功能。9.爬蟲系統的開發與維護。10.前端Web頁面開發。以上工作項目將依專長或希望的發展方向安排個人負責項目。,2018-06-06
